BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
CO2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
CO
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
H2O
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
N2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
O2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat



Angular frequency / N (m3.rad/s)           0.00000
Cosine of E-B field angle                  0.00000
Gas temperature (K)                        3000.00
Excitation temperature (K)                 3000.00
Transition energy (eV)                     0.00000
Ionization degree                         0.100000E-02
Gas particle density (1/m3)               0.250000E+25
Ion charge parameter                       1.00000
Ion/neutral mass ratio                     1.00000
Coulomb collision model                    1.00000
Energy sharing                             1.00000
Growth model                               1.00000
Maxwellian mean energy (eV)                0.00000
# of grid points                           100.000
Precision                                 0.100000E-09
Convergence                               0.100000E-04
Maximum # of iterations                    2000.00
Mole fraction CO2                         0.280000E-01
Mole fraction CO                          0.440000E-01
Mole fraction H2O                         0.940000E-01
Mole fraction N2                          0.660000
Mole fraction O2                          0.430000E-01


E/N (Td)      	Electric field / N (Td)
43.7634	0.652631E-18
59.2057	0.632966E-18
77.0238	0.613528E-18
97.2176	0.595693E-18
119.787	0.579524E-18
144.732	0.564794E-18
172.054	0.551512E-18
201.750	0.539203E-18
233.823	0.527717E-18
268.271	0.516952E-18
305.095	0.506678E-18
344.295	0.496660E-18
385.870	0.486916E-18
429.822	0.477397E-18
476.149	0.468268E-18
524.851	0.459296E-18
575.930	0.450581E-18
629.384	0.442076E-18
685.214	0.433916E-18
743.420	0.425875E-18
804.001	0.418096E-18
866.958	0.410683E-18
932.291	0.403435E-18
1000.00	0.396311E-18


E/N (Td)	Coulomb logarithm
1.00000	3.71377
2.18787	3.74119
5.75149	3.93759
11.6908	4.44932
20.0059	5.12199
30.6968	5.95344
43.7634	6.49414
59.2057	6.80730
77.0238	7.03371
97.2176	7.21620
119.787	7.37253
144.732	7.51351
172.054	7.64389
201.750	7.76855
233.823	7.88967
268.271	8.00825
305.095	8.12549
344.295	8.24114
385.870	8.35530
429.822	8.46761
476.149	8.57750
524.851	8.68473
575.930	8.78942
629.384	8.89152
685.214	8.99097
743.420	9.08782
804.001	9.18220
866.958	9.27417
932.291	9.36374
1000.00	9.45160


E/N (Td)	Maximum energy
1.00000	6.21116
2.18787	6.21116
5.75149	7.23168
11.6908	11.4140
20.0059	15.4728
30.6968	20.9749
43.7634	24.4211
59.2057	33.1052
77.0238	38.5444
97.2176	38.5444
119.787	44.8773
144.732	52.2506
172.054	60.8354
201.750	70.8307
233.823	82.4682
268.271	96.0178
305.095	96.0178
344.295	111.794
385.870	130.161
429.822	151.547
476.149	151.547
524.851	176.446
575.930	205.436
629.384	239.189
685.214	239.189
743.420	278.488
804.001	324.244
866.958	324.244
932.291	377.517
1000.00	439.543


E/N (Td)	# of iterations
1.00000	816.000
2.18787	885.000
5.75149	1530.00
11.6908	1676.00
20.0059	918.000
30.6968	597.000
43.7634	181.000
59.2057	172.000
77.0238	85.0000
97.2176	34.0000
119.787	58.0000
144.732	57.0000
172.054	68.0000
201.750	79.0000
233.823	89.0000
268.271	107.000
305.095	63.0000
344.295	143.000
385.870	154.000
429.822	159.000
476.149	82.0000
524.851	152.000
575.930	159.000
629.384	137.000
685.214	69.0000
743.420	136.000
804.001	126.000
866.958	58.0000
932.291	112.000
1000.00	62.0000


E/N (Td)	# of grid trials
1.00000	1.00000
2.18787	1.00000
5.75149	2.00000
11.6908	4.00000
20.0059	3.00000
30.6968	3.00000
43.7634	2.00000
59.2057	3.00000
77.0238	2.00000
97.2176	1.00000
119.787	2.00000
144.732	2.00000
172.054	2.00000
201.750	2.00000
233.823	2.00000
268.271	2.00000
305.095	1.00000
344.295	2.00000
385.870	2.00000
429.822	2.00000
476.149	1.00000
524.851	2.00000
575.930	2.00000
629.384	2.00000
685.214	1.00000
743.420	2.00000
804.001	2.00000
866.958	1.00000
932.291	2.00000
1000.00	2.00000


E/N (Td)	Error code
1.00000	-1.00000
2.18787	-1.00000
5.75149	-1.00000
11.6908	-1.00000
20.0059	-1.00000
30.6968	-1.00000
43.7634	-1.00000
59.2057	-1.00000
77.0238	-1.00000
97.2176	-1.00000
119.787	-1.00000
144.732	-1.00000
172.054	-1.00000
201.750	-1.00000
233.823	-1.00000
268.271	-1.00000
305.095	-1.00000
