# Data provided by J.B. Perrin-Terrin, from [PerrinTerrin2025](https://hal.science/hal-05076071v1/document)
# Cable: length=8.0 m, impedance=75 Ohm, Measurment position=3.0 m
# Time [s],Voltage [V],Current [A],Energy [J]
-7.740607E-8,0,-1.09375,-4.50455E-5
-7.730607E-8,0,-1.09375,-4.50455E-5
-7.720607E-8,0,-1.09375,-4.50455E-5
-7.710607E-8,0,-1.09375,-4.50455E-5
-7.700607E-8,0,-1.09375,-4.50455E-5
-7.690607E-8,0,-2.1875,-4.50455E-5
-7.680607E-8,0,-2.1875,-4.50455E-5
-7.670607E-8,0,-2.1875,-4.50455E-5
-7.660607E-8,0,-2.1875,-4.50455E-5
-7.650607E-8,0,-2.1875,-4.50455E-5
-7.640607E-8,0,-1.09375,-4.50455E-5
-7.630607E-8,0,-1.09375,-4.50455E-5
-7.620607E-8,0,-1.09375,-4.50455E-5
-7.610607E-8,0,-1.09375,-4.50455E-5
-7.600607E-8,0,-1.09375,-4.50455E-5
-7.590607E-8,0,-1.09375,-4.50455E-5
-7.580607E-8,78.1253,-1.09375,-4.50455E-5
-7.570607E-8,78.1253,-1.09375,-4.50455E-5
-7.560607E-8,0,-1.09375,-4.50455E-5
-7.550607E-8,0,-1.09375,-4.50455E-5
-7.540607E-8,0,-1.09375,-4.50455E-5
-7.530607E-8,0,-1.09375,-4.50455E-5
-7.520607E-8,0,-1.09375,-4.50455E-5
-7.510607E-8,0,-2.1875,-4.50455E-5
-7.500607E-8,0,-2.1875,-4.50455E-5
-7.490607E-8,0,-2.1875,-4.50455E-5
-7.480607E-8,0,-2.1875,-4.50455E-5
-7.470607E-8,0,-1.09375,-4.50455E-5
-7.460607E-8,0,-1.09375,-4.50455E-5
-7.450607E-8,0,-1.09375,-4.50455E-5
-7.440607E-8,0,-1.09375,-4.50455E-5
-7.430607E-8,0,-1.09375,-4.50455E-5
-7.420607E-8,78.1253,-1.09375,-4.50455E-5
-7.410607E-8,78.1253,-1.09375,-4.50455E-5
-7.400607E-8,78.1253,-1.09375,-4.50455E-5
-7.390607E-8,0,-1.09375,-4.50455E-5
-7.380607E-8,0,-1.09375,-4.50455E-5
-7.370607E-8,-78.1253,-1.09375,-4.50455E-5
-7.360607E-8,-78.1253,-1.09375,-4.50455E-5
-7.350607E-8,-78.1253,-1.09375,-4.50455E-5
-7.340607E-8,0,-1.09375,-4.50455E-5
-7.330607E-8,0,-1.09375,-4.50455E-5
-7.320607E-8,0,-1.09375,-4.50455E-5
-7.310607E-8,0,-1.09375,-4.50455E-5
-7.300607E-8,0,-1.09375,-4.50455E-5
-7.290607E-8,0,-1.09375,-4.50455E-5
-7.280607E-8,0,-1.09375,-4.50455E-5
-7.270607E-8,0,-1.09375,-4.50455E-5
-7.260607E-8,0,-1.09375,-4.50455E-5
-7.250607E-8,0,-2.1875,-4.50455E-5
-7.240607E-8,0,-2.1875,-4.50455E-5
-7.230607E-8,0,-2.1875,-4.50455E-5
-7.220607E-8,0,-2.1875,-4.50455E-5
-7.210607E-8,0,-1.09375,-4.50455E-5
-7.200607E-8,0,-1.09375,-4.50455E-5
-7.190607E-8,0,-1.09375,-4.50455E-5
-7.180607E-8,0,-1.09375,-4.50455E-5
-7.170607E-8,0,-1.09375,-4.50455E-5
-7.160607E-8,0,-1.09375,-4.50455E-5
-7.150607E-8,0,-1.09375,-4.50455E-5
-7.140607E-8,0,-1.09375,-4.50455E-5
-7.130607E-8,0,-2.1875,-4.50455E-5
-7.120607E-8,0,-2.1875,-4.50455E-5
-7.110607E-8,0,-2.1875,-4.50455E-5
-7.100607E-8,0,-2.1875,-4.50455E-5
-7.090607E-8,0,-2.1875,-4.50455E-5
-7.080607E-8,0,-2.1875,-4.50455E-5
-7.070607E-8,0,-2.1875,-4.50455E-5
-7.060607E-8,0,-2.1875,-4.50455E-5
-7.050607E-8,-78.1253,-2.1875,-4.50455E-5
-7.040607E-8,-78.1253,-1.09375,-4.50455E-5
-7.030607E-8,-78.1253,-1.09375,-4.50455E-5
-7.020607E-8,0,-1.09375,-4.50455E-5
-7.010607E-8,0,-1.09375,-4.50455E-5
-7.000607E-8,0,-1.09375,-4.50455E-5
